invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100293,C991830,Female,28,"Food & Beverage",3,15.69,Cash,28-11-2022,Kanyon
I100294,C277127,Male,52,"Food & Beverage",3,15.69,Cash,12-12-2022,"Istinye Park"
I100299,C179079,Male,19,Clothing,5,1500.40,Cash,30-09-2022,"Mall of Istanbul"
I100301,C553904,Female,20,Clothing,4,1200.32,"Credit Card",20-08-2021,"Mall of Istanbul"
I100307,C887007,Female,58,Clothing,3,900.24,"Credit Card",24-01-2022,Kanyon
I100308,C104593,Male,18,"Food & Beverage",1,5.23,Cash,11-07-2022,"Mall of Istanbul"
I100310,C183161,Female,46,Cosmetics,4,162.64,Cash,22-04-2022,"Mall of Istanbul"
I100311,C115462,Female,55,Clothing,4,1200.32,Cash,20-04-2022,"Zorlu Center"
I100312,C280934,Male,34,"Food & Beverage",2,10.46,"Credit Card",29-10-2022,"Emaar Square Mall"
I100313,C144410,Female,64,Cosmetics,4,162.64,Cash,17-11-2022,Metrocity
I100315,C242277,Female,30,Cosmetics,3,121.98,"Debit Card",04-08-2021,"Emaar Square Mall"
I100316,C248553,Male,40,Shoes,2,1200.34,Cash,13-12-2022,"Cevahir AVM"
I100320,C152872,Female,21,Clothing,2,600.16,Cash,10-10-2022,"Emaar Square Mall"
I100321,C113910,Female,59,Toys,2,71.68,"Credit Card",23-05-2022,"Forum Istanbul"
I100323,C107529,Male,66,Cosmetics,3,121.98,"Debit Card",19-05-2022,Kanyon
I100324,C288166,Female,61,Clothing,5,1500.40,"Debit Card",30-12-2022,"Metropol AVM"
I100328,C152052,Female,69,"Food & Beverage",3,15.69,"Credit Card",22-04-2022,Kanyon
I100330,C453598,Male,26,Cosmetics,5,203.30,"Credit Card",15-07-2022,Metrocity
I100336,C202040,Female,39,"Food & Beverage",1,5.23,Cash,01-08-2022,"Metropol AVM"
I100338,C779694,Male,62,"Food & Beverage",2,10.46,Cash,29-06-2022,"Viaport Outlet"
I100354,C135028,Male,22,Technology,1,1050.00,"Credit Card",24-08-2021,"Metropol AVM"
I100355,C189409,Female,57,Clothing,5,1500.40,Cash,25-10-2022,Kanyon
I100357,C494452,Female,23,Cosmetics,3,121.98,"Debit Card",02-05-2021,"Forum Istanbul"
I100358,C339237,Female,21,Cosmetics,5,203.30,Cash,22-09-2021,Metrocity
I100361,C224357,Female,26,"Food & Beverage",5,26.15,Cash,29-06-2021,"Viaport Outlet"
I100364,C231500,Female,54,Clothing,2,600.16,"Debit Card",15-04-2021,"Zorlu Center"
I100365,C624809,Female,47,Clothing,5,1500.40,"Credit Card",19-05-2021,"Emaar Square Mall"
I100366,C296054,Female,69,Clothing,1,300.08,"Debit Card",05-07-2021,"Cevahir AVM"
I100367,C268495,Male,61,"Food & Beverage",5,26.15,Cash,22-11-2021,Kanyon
I100368,C168429,Female,63,"Food & Beverage",1,5.23,"Credit Card",17-01-2022,Kanyon
I100377,C272529,Female,62,Toys,3,107.52,"Debit Card",23-12-2021,Metrocity
I100381,C243648,Female,36,Clothing,2,600.16,Cash,02-12-2022,"Forum Istanbul"
I100387,C234074,Female,21,"Food & Beverage",2,10.46,Cash,16-05-2021,"Mall of Istanbul"
I100397,C262466,Female,34,Cosmetics,1,40.66,"Debit Card",24-09-2021,"Forum Istanbul"
I100399,C250107,Female,46,"Food & Beverage",5,26.15,Cash,01-02-2022,"Mall of Istanbul"
I100400,C271625,Female,62,Shoes,4,2400.68,"Credit Card",16-01-2021,Metrocity
I100401,C291610,Female,34,Shoes,3,1800.51,"Credit Card",06-03-2023,"Cevahir AVM"
I100404,C116794,Female,64,Cosmetics,1,40.66,"Credit Card",03-11-2021,"Mall of Istanbul"
I100406,C146640,Male,62,Cosmetics,3,121.98,"Credit Card",16-06-2021,Kanyon
I100408,C128638,Female,37,Toys,3,107.52,Cash,09-08-2021,Kanyon
I100412,C313809,Female,35,"Food & Beverage",2,10.46,"Credit Card",18-09-2022,Metrocity
I100414,C233655,Male,56,Souvenir,2,23.46,"Debit Card",10-01-2023,"Mall of Istanbul"
I100417,C310007,Female,46,Clothing,3,900.24,Cash,17-07-2022,"Mall of Istanbul"
I100419,C937473,Male,53,Souvenir,2,23.46,"Credit Card",21-04-2022,"Mall of Istanbul"
I100420,C261035,Female,69,Cosmetics,3,121.98,"Credit Card",06-07-2021,"Viaport Outlet"
I100423,C664680,Female,33,"Food & Beverage",4,20.92,"Debit Card",22-04-2021,Metrocity
I100425,C386315,Female,52,Cosmetics,1,40.66,Cash,29-08-2021,"Metropol AVM"
I100426,C133701,Female,47,Cosmetics,3,121.98,Cash,24-12-2022,"Istinye Park"
I100434,C295965,Male,61,Cosmetics,4,162.64,Cash,14-07-2021,"Mall of Istanbul"
I100439,C224698,Male,26,Shoes,5,3000.85,"Credit Card",02-03-2023,"Metropol AVM"
I100441,C202089,Female,43,Cosmetics,3,121.98,Cash,09-09-2022,"Istinye Park"
I100443,C826051,Female,30,Souvenir,4,46.92,"Debit Card",16-04-2021,"Istinye Park"
I100445,C307576,Female,18,Clothing,1,300.08,"Debit Card",02-11-2021,"Istinye Park"
I100454,C851133,Female,40,Toys,3,107.52,"Debit Card",24-02-2023,"Istinye Park"
I100455,C191387,Female,56,Souvenir,5,58.65,Cash,04-09-2022,"Metropol AVM"
I100458,C150447,Female,19,Toys,2,71.68,"Credit Card",12-04-2022,Metrocity
I100459,C194835,Female,37,Clothing,3,900.24,"Debit Card",18-09-2021,Metrocity
I100462,C363980,Female,46,Souvenir,5,58.65,Cash,04-01-2021,"Metropol AVM"
I100464,C129826,Male,44,Clothing,2,600.16,"Debit Card",01-05-2021,"Mall of Istanbul"
I100465,C211946,Female,57,Clothing,1,300.08,Cash,14-01-2022,"Mall of Istanbul"
I100466,C235798,Male,30,Clothing,4,1200.32,"Debit Card",30-09-2021,"Forum Istanbul"
I100470,C219411,Female,32,Shoes,1,600.17,"Credit Card",08-11-2021,"Istinye Park"
I100472,C176862,Male,43,Cosmetics,1,40.66,Cash,01-09-2021,"Mall of Istanbul"
I100473,C607315,Female,51,Books,5,75.75,"Debit Card",01-01-2021,"Mall of Istanbul"
I100484,C135857,Male,50,Clothing,1,300.08,"Debit Card",26-01-2021,"Mall of Istanbul"
I100487,C213360,Female,22,Cosmetics,4,162.64,Cash,19-02-2021,Kanyon
I100491,C212593,Male,57,Shoes,4,2400.68,"Credit Card",29-03-2021,Kanyon
I100494,C227575,Male,56,Toys,3,107.52,"Debit Card",19-12-2021,Metrocity
I100496,C174558,Female,51,Clothing,2,600.16,Cash,26-11-2021,Metrocity
I100498,C498727,Female,63,Technology,5,5250.00,Cash,03-02-2023,"Cevahir AVM"
I100499,C114407,Male,45,Clothing,5,1500.40,Cash,09-05-2021,"Cevahir AVM"
I100501,C338282,Female,18,Technology,1,1050.00,"Debit Card",31-08-2021,Metrocity
I100502,C238358,Male,28,Toys,1,35.84,"Credit Card",10-10-2021,"Mall of Istanbul"
I100504,C703075,Female,59,Shoes,2,1200.34,Cash,31-03-2021,"Mall of Istanbul"
I100508,C249896,Female,20,Clothing,3,900.24,"Debit Card",24-03-2021,"Viaport Outlet"
I100512,C208841,Male,36,"Food & Beverage",3,15.69,"Debit Card",13-04-2022,Kanyon
I100519,C233898,Male,49,Clothing,4,1200.32,"Credit Card",25-01-2021,Kanyon
I100522,C100218,Male,26,Clothing,5,1500.40,Cash,06-11-2021,Kanyon
I100526,C356129,Male,35,Cosmetics,3,121.98,"Debit Card",17-08-2022,"Mall of Istanbul"
I100527,C274542,Male,54,Clothing,1,300.08,Cash,26-06-2022,Metrocity
I100537,C392460,Female,62,Souvenir,3,35.19,"Debit Card",05-04-2022,Kanyon
I100538,C312561,Female,65,Clothing,3,900.24,Cash,19-01-2022,"Istinye Park"
I100540,C641482,Female,35,Clothing,2,600.16,"Credit Card",14-06-2022,Metrocity
I100541,C155234,Female,65,Souvenir,2,23.46,Cash,10-05-2021,"Istinye Park"
I100542,C273404,Male,23,Souvenir,3,35.19,"Credit Card",05-06-2021,"Istinye Park"
I100543,C193964,Female,52,"Food & Beverage",2,10.46,Cash,05-03-2022,"Mall of Istanbul"
I100547,C173500,Male,49,"Food & Beverage",1,5.23,"Credit Card",07-08-2021,"Mall of Istanbul"
I100550,C123577,Female,38,Souvenir,5,58.65,Cash,22-11-2022,"Cevahir AVM"
I100552,C213606,Female,30,"Food & Beverage",3,15.69,"Credit Card",09-11-2021,"Metropol AVM"
I100555,C701082,Female,44,Clothing,3,900.24,Cash,10-09-2022,Kanyon
I100558,C209906,Male,27,Cosmetics,3,121.98,"Credit Card",25-05-2021,"Istinye Park"
I100561,C255643,Female,26,Clothing,4,1200.32,"Debit Card",29-08-2021,"Cevahir AVM"
I100565,C833577,Male,42,Clothing,5,1500.40,Cash,17-09-2022,"Metropol AVM"
I100566,C266257,Male,21,Clothing,2,600.16,Cash,10-10-2022,Metrocity
I100567,C272165,Male,18,Toys,5,179.20,"Credit Card",03-01-2021,"Mall of Istanbul"
I100571,C668914,Male,66,Clothing,1,300.08,"Debit Card",07-01-2023,"Zorlu Center"
I100572,C245347,Female,67,Clothing,1,300.08,Cash,30-07-2021,"Istinye Park"
I100578,C108143,Female,67,Shoes,4,2400.68,Cash,28-02-2023,"Zorlu Center"
I100579,C260481,Female,36,"Food & Beverage",3,15.69,"Credit Card",24-09-2022,Kanyon
I100580,C131158,Female,68,Toys,3,107.52,Cash,14-09-2022,"Cevahir AVM"
I100582,C638859,Female,66,Clothing,2,600.16,Cash,02-11-2021,"Istinye Park"
I100586,C580838,Female,62,Clothing,2,600.16,"Credit Card",18-03-2022,"Istinye Park"
I100591,C881158,Male,23,Toys,1,35.84,"Credit Card",20-02-2022,Metrocity
I100593,C240318,Male,23,Technology,2,2100.00,Cash,11-06-2021,"Mall of Istanbul"
I100599,C114161,Male,27,Shoes,2,1200.34,"Credit Card",24-11-2021,"Mall of Istanbul"
I100601,C180415,Male,49,Toys,4,143.36,Cash,09-06-2022,"Mall of Istanbul"
I100607,C315778,Male,60,Clothing,5,1500.40,"Debit Card",27-11-2021,Kanyon
I100610,C122598,Male,64,Books,5,75.75,"Debit Card",06-04-2022,"Mall of Istanbul"
I100611,C234086,Male,55,Toys,3,107.52,Cash,21-03-2022,"Metropol AVM"
I100614,C261517,Female,41,Cosmetics,5,203.30,Cash,11-07-2021,"Cevahir AVM"
I100615,C197426,Female,57,Clothing,5,1500.40,Cash,12-05-2022,"Mall of Istanbul"
I100617,C745941,Male,56,Books,5,75.75,Cash,06-07-2022,"Zorlu Center"
I100618,C911820,Male,23,Books,2,30.30,"Credit Card",04-03-2021,Metrocity
I100622,C306817,Female,45,Clothing,3,900.24,"Credit Card",18-01-2023,Kanyon
I100624,C552809,Female,26,Clothing,5,1500.40,"Debit Card",05-03-2021,Metrocity
I100627,C132581,Male,54,Books,3,45.45,"Debit Card",10-12-2022,Metrocity
I100628,C135129,Male,25,Clothing,1,300.08,Cash,09-04-2022,"Viaport Outlet"
I100630,C753708,Female,66,"Food & Beverage",4,20.92,"Debit Card",02-04-2022,Kanyon
I100634,C461631,Female,22,Clothing,5,1500.40,Cash,23-05-2022,Kanyon
I100635,C289537,Female,69,Clothing,4,1200.32,"Debit Card",03-06-2021,"Metropol AVM"
I100639,C231484,Male,65,Technology,4,4200.00,"Credit Card",02-05-2022,Metrocity
I100651,C180588,Female,41,Cosmetics,2,81.32,"Credit Card",15-09-2021,"Metropol AVM"
I100652,C214732,Female,67,Clothing,2,600.16,"Credit Card",17-01-2023,"Cevahir AVM"
I100656,C337441,Female,54,Cosmetics,2,81.32,Cash,18-02-2023,"Metropol AVM"
I100659,C562791,Male,27,Souvenir,3,35.19,Cash,14-07-2021,"Emaar Square Mall"
I100663,C322131,Female,41,"Food & Beverage",5,26.15,Cash,26-09-2021,"Mall of Istanbul"
I100664,C603641,Male,62,Clothing,2,600.16,"Debit Card",19-10-2021,"Mall of Istanbul"
I100666,C996052,Female,62,Books,2,30.30,Cash,02-04-2022,Metrocity
I100671,C284324,Male,28,Clothing,1,300.08,Cash,03-05-2021,Metrocity
I100682,C134970,Male,58,Toys,4,143.36,Cash,22-03-2021,"Istinye Park"
I100684,C175424,Male,30,Cosmetics,5,203.30,"Credit Card",11-08-2021,"Emaar Square Mall"
I100685,C263059,Male,60,Souvenir,2,23.46,"Debit Card",24-05-2021,"Forum Istanbul"
I100691,C116434,Female,35,Clothing,2,600.16,Cash,26-04-2022,"Viaport Outlet"
I100694,C318405,Female,62,"Food & Beverage",4,20.92,Cash,27-11-2022,Kanyon
I100696,C131827,Male,44,Clothing,2,600.16,Cash,12-07-2021,Metrocity
I100697,C159194,Female,31,Clothing,4,1200.32,Cash,19-12-2021,Kanyon
I100699,C844692,Male,44,Books,1,15.15,"Credit Card",07-03-2021,"Mall of Istanbul"
I100700,C831975,Female,60,Clothing,4,1200.32,"Credit Card",24-10-2021,"Viaport Outlet"
I100703,C263996,Male,36,Clothing,2,600.16,Cash,08-08-2022,Metrocity
I100704,C864065,Male,24,Technology,2,2100.00,"Debit Card",30-04-2021,"Mall of Istanbul"
I100709,C156430,Female,40,Clothing,3,900.24,"Debit Card",18-08-2021,"Mall of Istanbul"
I100719,C193403,Male,69,Toys,2,71.68,Cash,17-07-2022,"Zorlu Center"
I100721,C993556,Female,51,Clothing,2,600.16,"Debit Card",02-05-2022,Kanyon
I100723,C150582,Female,38,Toys,1,35.84,"Debit Card",08-02-2021,"Mall of Istanbul"
I100731,C868764,Female,28,Books,1,15.15,"Debit Card",29-12-2022,"Emaar Square Mall"
I100733,C932952,Female,42,Books,1,15.15,Cash,28-02-2022,Kanyon
I100735,C107829,Female,44,Souvenir,4,46.92,"Debit Card",02-02-2022,"Metropol AVM"
I100738,C155129,Male,20,Clothing,2,600.16,"Debit Card",31-03-2022,Kanyon
I100741,C828874,Male,41,Cosmetics,5,203.30,"Debit Card",05-01-2021,"Cevahir AVM"
I100742,C422142,Female,58,"Food & Beverage",3,15.69,"Credit Card",05-04-2022,"Metropol AVM"
I100744,C146601,Female,50,Clothing,4,1200.32,Cash,31-03-2022,Kanyon
I100749,C272878,Female,52,Toys,2,71.68,Cash,04-03-2021,Metrocity
I100756,C771102,Male,31,Clothing,1,300.08,Cash,17-02-2023,"Mall of Istanbul"
I100760,C800785,Female,18,Books,4,60.60,"Credit Card",19-01-2021,"Mall of Istanbul"
I100762,C183883,Female,49,Clothing,1,300.08,"Debit Card",11-01-2023,"Zorlu Center"
I100763,C264447,Female,35,Cosmetics,4,162.64,Cash,10-07-2022,"Cevahir AVM"
I100764,C564073,Male,54,Cosmetics,3,121.98,"Credit Card",07-02-2023,"Istinye Park"
I100768,C223065,Female,49,Cosmetics,3,121.98,Cash,28-05-2022,Kanyon
I100770,C140792,Female,61,Toys,5,179.20,"Credit Card",10-04-2021,"Metropol AVM"
I100771,C235228,Female,23,"Food & Beverage",3,15.69,"Credit Card",07-03-2022,"Istinye Park"
I100775,C981100,Male,23,Cosmetics,5,203.30,Cash,02-04-2021,"Metropol AVM"
I100777,C303252,Female,38,Toys,3,107.52,"Credit Card",29-10-2021,Kanyon
I100780,C191396,Female,62,Books,3,45.45,"Credit Card",06-04-2021,"Mall of Istanbul"
I100782,C582964,Male,55,"Food & Beverage",3,15.69,"Debit Card",11-03-2022,"Zorlu Center"
I100791,C289735,Female,39,Cosmetics,4,162.64,Cash,11-10-2021,"Metropol AVM"
I100793,C328805,Male,29,Cosmetics,3,121.98,Cash,15-03-2021,"Istinye Park"
I100795,C232822,Male,62,Books,2,30.30,"Debit Card",06-07-2022,Kanyon
I100797,C224221,Male,23,Shoes,4,2400.68,"Credit Card",17-10-2021,"Metropol AVM"
I100803,C273636,Female,38,Books,5,75.75,Cash,24-02-2023,"Mall of Istanbul"
I100812,C208761,Female,66,Clothing,5,1500.40,"Credit Card",24-03-2022,"Metropol AVM"
I100813,C250804,Male,63,Clothing,2,600.16,Cash,18-03-2022,"Emaar Square Mall"
I100814,C130818,Female,38,Books,3,45.45,"Credit Card",12-08-2022,"Mall of Istanbul"
I100815,C222582,Male,50,Toys,4,143.36,Cash,19-04-2022,Kanyon
I100818,C151068,Female,21,"Food & Beverage",3,15.69,Cash,08-01-2021,"Mall of Istanbul"
I100820,C180870,Male,20,"Food & Beverage",2,10.46,Cash,26-12-2021,Metrocity
I100822,C336505,Male,55,Cosmetics,1,40.66,Cash,15-11-2021,"Zorlu Center"
I100829,C115788,Male,32,Souvenir,5,58.65,"Credit Card",30-07-2021,"Istinye Park"
I100835,C259176,Female,43,Clothing,5,1500.40,"Debit Card",27-08-2022,"Viaport Outlet"
I100837,C827434,Male,65,Clothing,1,300.08,Cash,12-01-2023,"Cevahir AVM"
I100842,C143467,Female,45,"Food & Beverage",5,26.15,"Credit Card",08-06-2021,"Forum Istanbul"
I100843,C170564,Female,54,Clothing,4,1200.32,"Debit Card",17-01-2022,"Metropol AVM"
I100851,C256797,Female,32,Cosmetics,1,40.66,"Credit Card",10-09-2022,"Istinye Park"
I100855,C125109,Female,63,Clothing,3,900.24,"Credit Card",25-06-2021,"Emaar Square Mall"
I100856,C475330,Male,44,"Food & Beverage",3,15.69,Cash,09-06-2022,"Metropol AVM"
I100861,C281937,Female,49,Cosmetics,2,81.32,Cash,24-12-2022,"Viaport Outlet"
I100863,C302400,Male,35,"Food & Beverage",2,10.46,Cash,04-01-2023,"Emaar Square Mall"
I100865,C234663,Female,44,Cosmetics,3,121.98,Cash,10-02-2022,"Istinye Park"
I100866,C265260,Female,54,"Food & Beverage",3,15.69,Cash,16-08-2021,Metrocity
I100870,C236060,Male,46,Books,2,30.30,Cash,02-03-2023,Metrocity
I100875,C232349,Female,20,Toys,2,71.68,Cash,02-09-2021,"Mall of Istanbul"
I100880,C217725,Female,39,Shoes,3,1800.51,Cash,13-01-2021,"Metropol AVM"
I100881,C332806,Male,32,Souvenir,1,11.73,"Debit Card",06-05-2021,Kanyon
I100884,C729531,Female,37,Souvenir,1,11.73,Cash,15-02-2023,Metrocity
I100885,C102033,Male,38,Books,5,75.75,Cash,01-09-2021,"Mall of Istanbul"
I100886,C676444,Female,41,Cosmetics,5,203.30,Cash,19-12-2021,Metrocity
I100897,C402407,Male,61,Shoes,4,2400.68,"Credit Card",05-10-2022,Kanyon
I100899,C256232,Male,30,Clothing,5,1500.40,Cash,23-06-2022,Kanyon
I100900,C221280,Male,20,"Food & Beverage",5,26.15,Cash,22-08-2021,"Viaport Outlet"
I100901,C178198,Female,41,Clothing,1,300.08,"Debit Card",17-06-2022,Kanyon
I100903,C702152,Female,21,Clothing,3,900.24,"Debit Card",20-12-2021,Metrocity
I100904,C138573,Male,32,"Food & Beverage",5,26.15,"Debit Card",23-12-2022,Kanyon
I100911,C330379,Female,18,Technology,1,1050.00,"Credit Card",29-08-2021,Metrocity
